ID;query;generated;external check ;translation;context
q163;"""Von"" ve ""aus"" edatlarının farkı nedir?";yes;tr;"Was ist der Unterschied zwischen den Präpositionen ""von"" und ""aus""?";grammar
q164;"""Neben"" ve ""zwischen"" edatlarının kullanımı nasıldır?";yes;tr;"Wie werden die Präpositionen ""neben"" und ""zwischen"" verwendet?";grammar
q165;"Як будувати речення з ""damit"" для вираження мети?";yes;uk;"Wie kann man Sätze mit ""damit"" bilden, um den Zweck auszudrücken?";grammar
q166;"كيف أقول ""Ich bin müde"" بالعربية؟";yes;ar;"Wie kann ich ""Ich bin müde"" auf Arabisch sagen?";translation
q167;"أرجوك ترجم لي الجملة ""Ich habe Hunger"".";yes;ar;"Bitte übersetzen Sie den Satz ""Ich habe Hunger"" für mich.";translation
q168;"كيف يمكنني أن أقول ""Wo ist die Bank?"" بالألمانية؟";yes;ar;"Wie kann ich ""Wo ist die Bank?"" auf Deutsch sagen?";translation
q169;"ساعدني في ترجمة ""Ich brauche Wasser"".";yes;ar;"Hilf mir bei der Übersetzung von ""Ich brauche Wasser"".";translation
q170;"أريد ترجمة ""Ich habe gestern einen interessanten Artikel über Wissenschaft gelesen"" إلى الألمانية.";yes;ar;"Ich möchte ""Ich habe gestern einen interessanten Artikel über Wissenschaft gelesen"" ins Deutsche übersetzen.";translation
q171;"كيف أقول ""Die Reise nach Deutschland war eine unvergessliche Erfahrung"" بالألمانية؟";yes;ar;"Wie sage ich ""Die Reise nach Deutschland war ein unvergessliches Erlebnis"" auf Deutsch?";translation
q172;"أرجوك ترجم لي ""Die Umweltverschmutzung nimmt weltweit zu"".";yes;ar;"Bitte übersetzen Sie für mich ""Die Umweltverschmutzung nimmt weltweit zu"".";translation
q173;"ساعدني في ترجمة ""Ich plane, nächstes Jahr nach Europa zu reisen"".";yes;ar;"Helfen Sie mir bei der Übersetzung von ""Ich plane, nächstes Jahr nach Europa zu reisen"".";translation
q174;"Как сказать ""Ich bin hungrig"" по-русски?";yes;ru;"Wie sagt man ""Ich bin hungrig"" auf Russisch?";translation
q175;"Переведите, пожалуйста, ""Ich habe Durst"".";yes;ru;"Bitte übersetzen Sie ""Ich habe Durst"".";translation
q176;"Как будет ""Wie viel kostet das?"" на русском языке?";yes;ru;"Was heißt ""Wie viel kostet das?"" auf Russisch?";translation
q177;"Помогите перевести ""Ich liebe meine Familie"".";yes;ru;"Helfen Sie bei der Übersetzung von ""Ich liebe meine Familie"".";translation
q178;"Как сказать ""Ich habe gestern eine sehr interessante Dokumentation gesehen"" по-русски?";yes;ru;"Wie sagt man: ""Gestern habe ich einen sehr interessanten Dokumentarfilm gesehen"" auf Russisch?";translation
q179;"Переведите ""Die kulturellen Unterschiede zwischen den Ländern sind faszinierend"" на русский язык.";yes;ru;"Übersetzen Sie ""Kulturelle Unterschiede zwischen Ländern sind faszinierend"" ins Russische.";translation
q180;"Как будет ""Es ist wichtig, regelmäßig Sport zu treiben"" на русском?";yes;ru;"Wie sagt man ""Es ist wichtig, regelmäßig Sport zu treiben"" auf Russisch?";translation
q181;"Помогите перевести ""Ich freue mich darauf, neue Menschen kennenzulernen"".";yes;ru;"Helfen Sie bei der Übersetzung von ""Ich freue mich darauf, neue Leute kennenzulernen"".";translation
q182;"Як сказати ""Ich bin glücklich"" українською?";yes;uk;"Wie sagt man ""Ich bin glücklich"" auf Ukrainisch?";translation
q183;"Перекладіть, будь ласка, ""Ich mag Musik"".";yes;uk;"Bitte übersetzen Sie ""Ich mag Musik"".";translation
q184;"Як буде ""Wo ist die nächste Apotheke?"" українською мовою?";yes;uk;"Wie sagt man ""Wo ist die nächste Apotheke?"" auf Ukrainisch?";translation
q185;"Допоможіть перекласти ""Ich habe ein Auto"".";yes;uk;"Hilf mir bei der Übersetzung von ""Ich habe ein Auto"".";translation
q186;"Як сказати ""Gestern habe ich ein wunderbares Buch über Geschichte gelesen"" українською?";yes;uk;"Wie sagt man ""Gestern habe ich ein tolles Buch über Geschichte gelesen"" auf Ukrainisch?";translation
q187;"Перекладіть ""Die wirtschaftliche Lage des Landes hat sich verbessert"" на українську мову.";yes;uk;"Übersetzen Sie ""Die wirtschaftliche Lage des Landes hat sich verbessert"" ins Ukrainische.";translation
q188;"Як буде ""Es ist schwer, eine neue Sprache zu lernen"" українською?";yes;uk;"Wie würden Sie ""Es ist schwer, eine neue Sprache zu lernen"" ins Ukrainische übersetzen?";translation
q189;"Допоможіть перекласти ""Ich freue mich auf die Reise nächstes Jahr"".";yes;uk;"Helfen Sie uns bei der Übersetzung von ""Ich freue mich auf die Reise nächstes Jahr"".";translation
q190;"Lütfen ""Ich bin traurig"" cümlesini Türkçeye çevirir misiniz?";yes;tr;"Könnten Sie bitte den Satz ""Ich bin traurig"" ins Türkische übersetzen?";translation
q191;"""Ich habe Durst"" ifadesini Türkçeye nasıl çeviririm?";yes;tr;"Wie kann ich ""Ich habe Durst"" ins Türkische übersetzen?";translation
q192;"""Wie komme ich zum Bahnhof?"" Türkçe nasıl söylenir?";yes;tr;"Wie sagt man ""Wie komme ich zum Bahnhof?"" auf Türkisch?";translation
q193;"Bana ""Ich habe einen Hund"" cümlesinin Türkçesini verir misin?";yes;tr;"Können Sie mir die türkische Version von ""Ich habe einen Hund"" geben?";translation
q194;"""Dün çok güzel bir film izledim"" ifadesini Türkçeye çevirir misiniz?";yes;tr;"Können Sie den Ausdruck ""Ich habe gestern einen sehr guten Film gesehen"" ins Türkische übersetzen?";translation
q195;"""Ülkeler arasındaki kültürel farklılıklar büyüleyici"" cümlesinin Türkçesi nedir?";yes;tr;"Was ist die türkische Version von ""Kulturelle Unterschiede zwischen Ländern sind faszinierend""?";translation
q196;"""Yeni bir dil öğrenmek zor"" ifadesini Türkçeye nasıl çeviririm?";yes;tr;"Wie übersetze ich den Ausdruck ""Es ist schwierig, eine neue Sprache zu lernen"" ins Türkische?";translation
q197;"""Gelecek yıl seyahat etmeyi dört gözle bekliyorum"" cümlesinin Türkçesi nedir?";yes;tr;"Was ist die türkische Version von ""Ich freue mich darauf, nächstes Jahr zu reisen""?";translation
q198;"Bitte übersetze mir folgenden Satz ins Arabische: ""Ich habe meine Hausaufgaben vergessen"".";yes;ar;"Bitte übersetze mir folgenden Satz ins Arabische: ""Ich habe meine Hausaufgaben vergessen"".";translation
q199;"Übersetze ""Ich gehe jeden Tag zur Arbeit"" ins Russische.";yes;ru;"Übersetze ""Ich gehe jeden Tag zur Arbeit"" ins Russische.";translation
q200;"Übersetze bitte ""Ich habe Angst vor Spinnen"" ins Ukrainische.";yes;ru;"Übersetze bitte ""Ich habe Angst vor Spinnen"" ins Ukrainische.";translation
q201;"Bitte übersetze ""Ich spiele gerne Basketball"" ins Türkische.";yes;tr;"Bitte übersetze ""Ich spiele gerne Basketball"" ins Türkische.";translation
q202;"Übersetze ""Morgen werde ich meine Großeltern besuchen"" ins Arabische.";yes;ar;"Übersetze ""Morgen werde ich meine Großeltern besuchen"" ins Arabische.";translation
q203;"Bitte übersetze ""Es ist wichtig, gesund zu bleiben"" ins Russische.";yes;ru;"Bitte übersetze ""Es ist wichtig, gesund zu bleiben"" ins Russische.";translation
q204;"Übersetze ""Ich habe gestern ein tolles Konzert besucht"" ins Ukrainische.";yes;uk;"Übersetze ""Ich habe gestern ein tolles Konzert besucht"" ins Ukrainische.";translation
q205;"Bitte übersetze ""Ich möchte eine neue Sprache lernen"" ins Türkische.";yes;tr;"Bitte übersetze ""Ich möchte eine neue Sprache lernen"" ins Türkische.";translation
